Date;API2;MTFc1 (TRDPRC_1);CMAP4C1 (TRDPRC_1)
10/11/2022;172.4138;190,6838;180,2508
09/11/2022;180.8011;187,7934;185,5459
07/11/2022;202.615;202,615;209,1027
02/11/2022;232.7595;235,5608;223,5917
28/10/2022;243.9024;268,8447;238,8839
26/10/2022;243.1279;266,9445;241,6394
25/10/2022;245.3834;270,2228;242,8743
20/10/2022;263.7228;275,989;247,3679
19/10/2022;263.535;273,2576;247,9275
11/10/2022;264.8665;274,2966;248,8921
07/10/2022;254.594;268,9662;255,1073
06/10/2022;301.3895;271,2505;290,662
29/09/2022;311.7995;334,4712;302,6289
21/09/2022;304.971;332,9267;296,3302
16/09/2022;311.5327;332,002;307,8882
15/09/2022;322.0322;337,0337;307,3807
14/09/2022;320.7377;336,7746;306,7054
13/09/2022;320.9629;337,011;301,1535
09/09/2022;323.7374;336,6869;329,7141
08/09/2022;335.4513;348,2089;343,2059
05/09/2022;393.915;375,7411;353,113
01/09/2022;356.245;371,078;348,0491
30/08/2022;349.5805;361,666;332,1661
19/08/2022;396.6514;372,0849;326,3903
18/08/2022;371.7288;361,1717;321,1737
17/08/2022;373.2809;354,6169;317,78
16/08/2022;376.5978;349,41;316,6175
15/08/2022;344.4882;347,7854;313,9764
12/08/2022;319.7504;339,2474;306,59
11/08/2022;334.3995;333,7695;302,8981
10/08/2022;325.3375;333,4466;291,347
09/08/2022;293.8008;320,8794;287,9248
08/08/2022;287.3958;307,5037;284,4532
05/08/2022;282.8799;308,0739;289,2643
03/08/2022;334.514;347,1566;315,3286
27/07/2022;369.5354;381,6409;330,8175
26/07/2022;375.7168;383,9727;337,6508
21/07/2022;322.6437;366,6406;327,0434
20/07/2022;330.1562;369,4605;330,1562
19/07/2022;322.77;362,8717;326,6823
18/07/2022;332.8074;369,4409;339,7101
14/07/2022;364.4169;391,3738;351,4377
13/07/2022;377.7336;392,1471;350,0497
12/07/2022;390.5939;393,0849;351,8832
08/07/2022;367.2788;381,5182;345,3305
07/07/2022;368.8847;378,9743;343,5377
04/07/2022;351.6937;351,9371;326,2643
30/06/2022;352.9861;353,32;322,9346
29/06/2022;346.7765;349,1714;326,3244
28/06/2022;353.6794;347,4995;328,0091
27/06/2022;357.1766;349,1449;312,7658
21/06/2022;351.5439;328,266;313,5392
16/06/2022;281.5967;314,1652;300,0853
15/06/2022;284.401;314,086;298,7647
14/06/2022;278.4713;311,1196;299,1166
08/06/2022;270.6739;302,8747;301,4747
30/05/2022;279.2985;305,9103;303,192
26/05/2022;275.0839;308,1872;306,3223
25/05/2022;271.5356;308,9888;307,5843
24/05/2022;270.1696;308,3659;309,2976
18/05/2022;317.2177;314,3512;312,918
17/05/2022;303.4038;312,4111;311,937
16/05/2022;297.1911;311,7151;313,0093
13/05/2022;288.3969;305,7823;314,5711
12/05/2022;298.68;313,4695;308,3149
11/05/2022;288.2694;303,0159;296,594
10/05/2022;274.0572;297,3307;292,581
09/05/2022;288.0152;294,505;294,1734
06/05/2022;289.0721;302,341;293,3371
05/05/2022;298.8615;303,6053;284,1556
04/05/2022;289.05;293,4281;259,0622
03/05/2022;261.8821;269,0114;280,8454
27/04/2022;269.0668;307,2951;282,2359
26/04/2022;274.5393;305,2369;282,0609
22/04/2022;289.9759;302,7145;288,5863
